State,County,NSN,Item Name,Quantity,UI,Acquisition Cost,Ship Date
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,03/16/2007
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/28/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BUNCOMBE                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,BUNCOMBE                 ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
